split,policy,seed,graph_id,layout_score_improvement
val,Default FR,2028,val__grid__medium__idx0000__seed243026,0.21516082224427113
val,Default FR,2028,val__grid__medium__idx0001__seed243027,0.1780363917738379
val,Default FR,2028,val__grid__medium__idx0002__seed243028,0.24668565750460392
val,Random,2028,val__erdos_renyi__small__idx0000__seed202026,0.08706447727190025
val,Random,2028,val__erdos_renyi__small__idx0001__seed202027,0.19354639308136168
val,Random,2028,val__erdos_renyi__small__idx0002__seed202028,0.1554577697233085
val,Random,2028,val__erdos_renyi__medium__idx0000__seed203026,0.14488555240439493
val,Random,2028,val__erdos_renyi__medium__idx0001__seed203027,0.13244206457484653
val,Random,2028,val__erdos_renyi__medium__idx0002__seed203028,0.1422157061985151
val,Random,2028,val__barabasi_albert__small__idx0000__seed212026,0.06936545436293129
val,Random,2028,val__barabasi_albert__small__idx0001__seed212027,0.10673314890457541
val,Random,2028,val__barabasi_albert__small__idx0002__seed212028,0.11157552690658107
val,Random,2028,val__barabasi_albert__medium__idx0000__seed213026,0.11553579440530037
val,Random,2028,val__barabasi_albert__medium__idx0001__seed213027,0.09057688018090987
val,Random,2028,val__barabasi_albert__medium__idx0002__seed213028,0.07886098594708246
val,Random,2028,val__watts_strogatz__small__idx0000__seed222026,0.1535926533662763
val,Random,2028,val__watts_strogatz__small__idx0001__seed222027,0.15159312439760492
val,Random,2028,val__watts_strogatz__small__idx0002__seed222028,0.14074199316094016
val,Random,2028,val__watts_strogatz__medium__idx0000__seed223026,0.1132448006368203
val,Random,2028,val__watts_strogatz__medium__idx0001__seed223027,0.11439768334795591
val,Random,2028,val__watts_strogatz__medium__idx0002__seed223028,0.11198584591029526
val,Random,2028,val__tree__small__idx0000__seed232026,0.2940821852169392
val,Random,2028,val__tree__small__idx0001__seed232027,0.21285775324401401
val,Random,2028,val__tree__small__idx0002__seed232028,0.2117275433617165
val,Random,2028,val__tree__medium__idx0000__seed233026,0.1905869134618895
val,Random,2028,val__tree__medium__idx0001__seed233027,0.23311707453121489
val,Random,2028,val__tree__medium__idx0002__seed233028,0.18459439420632806
val,Random,2028,val__grid__small__idx0000__seed242026,0.19350975539158433
val,Random,2028,val__grid__small__idx0001__seed242027,0.3038985343806776
val,Random,2028,val__grid__small__idx0002__seed242028,0.3137135759068196
val,Random,2028,val__grid__medium__idx0000__seed243026,0.20098587537764756
val,Random,2028,val__grid__medium__idx0001__seed243027,0.2687688329333262
val,Random,2028,val__grid__medium__idx0002__seed243028,0.2479677846629057
val,Best fixed,2028,val__erdos_renyi__small__idx0000__seed202026,0.10874193703146418
val,Best fixed,2028,val__erdos_renyi__small__idx0001__seed202027,0.17405727400714543
val,Best fixed,2028,val__erdos_renyi__small__idx0002__seed202028,0.159733095270433
val,Best fixed,2028,val__erdos_renyi__medium__idx0000__seed203026,0.17358626871551575
val,Best fixed,2028,val__erdos_renyi__medium__idx0001__seed203027,0.1527832497622702
val,Best fixed,2028,val__erdos_renyi__medium__idx0002__seed203028,0.132881571530842
val,Best fixed,2028,val__barabasi_albert__small__idx0000__seed212026,0.07618333541039257
val,Best fixed,2028,val__barabasi_albert__small__idx0001__seed212027,0.1308776855080267
val,Best fixed,2028,val__barabasi_albert__small__idx0002__seed212028,0.11669822467176377
val,Best fixed,2028,val__barabasi_albert__medium__idx0000__seed213026,0.11186073177668354
val,Best fixed,2028,val__barabasi_albert__medium__idx0001__seed213027,0.10393691197667126
val,Best fixed,2028,val__barabasi_albert__medium__idx0002__seed213028,0.07960979016921799
val,Best fixed,2028,val__watts_strogatz__small__idx0000__seed222026,0.15757496512596175
val,Best fixed,2028,val__watts_strogatz__small__idx0001__seed222027,0.1523095840928031
